Country,GDP per capita (USD),Life satisfaction
Australia,48145.53,7.5
Austria,41255.715,7.8100056064
Belgium,39160.324,7.5289745505
Canada,43761.527,8.0
Colombia,13237.291,8.2624974606
Czechia,28437.604,6.8799199806
Denmark,44940.887,8.0107682102
Estonia,24473.66,6.4551335228
Finland,36986.7,8.0458559898
France,37077.89,7.0531889489
Germany,44405.168,7.2543085296
Greece,22696.203,6.1600323929
Hungary,22993.375,6.1127915586
Iceland,39756.527,7.9489247249
Ireland,53196.598,7.4395113484
Italy,33620.742,6.5883967089
Japan,37053.176,5.78
Latvia,22179.42,6.4682794765
Lithuania,23968.848,6.729421373
Luxembourg,54251.45,7.4342386137
Mexico,16235.004,8.4487109972
Netherlands,44912.664,7.8022760577
New Zealand,34248.477,7.8
Norway,82983.99,7.8856053859
Poland,24285.14,7.3153997162
Portugal,24983.701,6.1537453485
Slovenia,26186.248,6.9515327869
Spain,32057.098,6.8805823872
Sweden,43782.457,7.9074822893
Switzerland,60070.867,8.047416135
United Kingdom,37101.227,7.42
Bulgaria,16186.409,4.7706767102
Croatia,20025.754,6.3404621507
Romania,19162.186,7.133232048
